 母公司	 最終母公司	 NPI/PI	 DRSK'		 產品代碼	 發行人	 證券名稱	 幣別	" 參考賣出價
"		" 參考買入價
"	 前手息	 1日價格變動	 利差	 指標	 五日價格變動			 參考買回殖利率	 參考到期殖利率	" 距買
回年"	" 距到
期年"	 穆迪	 穆迪評價日	 標普	 標普評價日	 惠譽	 惠譽評價日	 票息	 配息頻率	 下一配息日	" 票息
Type"	" 浮動
SPREAD"	" 發行日
Issue Date"	 下一買回日	 到期日	" Bullet/
Callable"	 償債順位	 最小單位	 涉險國家	 行業	 產業	 PERPETUAL	" COCO
SECURITY"	" BASEL
III"	" COCO
ACTION"	" COCO
TRIGGER"	" TRIGGER
LEVEL"	" TRIGGER
TYPE"	 WRITE_DOWN_TYPE	" 美國
所得"	 國家	" OBU之
PI /NPI"	 上季風險	 風險等級	 風險變動	" OBU之
PI /NPI"	 風險等級	 outstanding (MM)	 償債順位
[NEW-LINE]	 US83368TBT43	 法國興業銀行股份有限公司	SOCGEN 7.367 01/10/53	USD	101.4 		107.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.669)							6.78 		28.8 	Baa3	2023/1/6	BBB-	2023/1/4	BBB	2023/1/5	7.367	2	2024/7/10	FIXED		2023/1/3		2053/1/10	B	Subordinated	200000	FR	Banks	Financial	N		Tier 2							FR	NPI	穩健型	保守型	Y	PI	積極型	  1,000 	 次順位	 
DEUTSCHE BANK NY	Deutsche Bank AG	Deutsche Bank AG	PI	 	 
				 [NEW-LINE]	 US83368TBT43	 法國興業銀行股份有限公司	SOCGEN 7.367 01/10/53	USD	101.8077545		107.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.000 							6.77 			Baa3	2023/1/6	BBB-	2023/1/4	BBB	2023/1/5	7.367	2	2024/7/10	FIXED		2023/1/3		2053/1/10	B	Subordinated	200000	FR	Banks	Financial	N		Tier 2							FR	NPI	穩健型	保守型	Y	PI	積極型	  1,000 	 次順位
				 [NEW-LINE]	 US83368TBK34	 法國興業銀行股份有限公司	SOCGEN 4.027 01/21/43	USD	69.23		75.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.303 						6.38 	6.30 	17.8 	18.8 	Baa3	2022/7/12	BBB-	2022/1/12	BBB	2022/9/13	4.027	2	2024/7/21	VARIABLE	190	2022/1/11	2042/1/21	2043/1/21	C	Subordinated	200000	FR	Banks	Financial	N		Tier 2							FR	NPI	穩健型	保守型	Y	PI	積極型	  750 	 次順位
				 [NEW-LINE]	 US83368TBB35	 法國興業銀行股份有限公司	SOCGEN 3 5/8 03/01/41	USD	66.78804779		72.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.598 							6.27 		16.9 	Baa3	2021/2/25	BBB-	2021/2/23	BBB	2021/2/25	3.625	2	2024/9/1	FIXED		2021/2/22		2041/3/1	B	Subordinated	200000	FR	Banks	Financial	N		Tier 2							FR	NPI	穩健型	保守型	Y	PI	積極型	  1,000 	 次順位
Deutsche Bank AG	Deutsche Bank AG	PI	 	 [NEW-LINE]	 US251526CT41	 德意志銀行股份有限公司/紐約	DB 7.079 02/10/34	USD	101.1396866		106.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.039 	236 	T 4 02/15/34	0.58 			6.13 	6.22 	8.6 	9.9 	Baa3	2023/2/9	BBB-	2023/12/8	BBB	2023/7/3	7.079	2	2024/8/10	VARIABLE	365	2023/2/6	2032/11/10	2034/2/10	C	Subordinated	200000	DE	Banks	Financial	N		Tier 2							GE	NPI	穩健型	保守型	Y	PI	積極型	  1,500 	 次順位
	M&G PLC	0	 不可承做	 [NEW-LINE]	 XS1888930150	 M&G公開有限公司	MGNLN 6 1/2 10/20/48	USD	100.1313477		105.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	#N/A Mandatory parameter [STARTDATE] cannot be empty	172 	T 4 1/4 02/28/29	0.20 			5.16 	6.07 	4.6 	24.6 	Baa1	2023/10/17	BBB	2018/9/26	BBB+	2019/10/21	6.5	2	2024/4/20	VARIABLE	441.4	2018/9/18	2028/10/20	2048/10/20	C	Subordinated	200000	GB	Insurance	Financial	N									EN	NPI	穩健型	保守型	Y	0	積極型	  500 	 次順位
				 [NEW-LINE]	 USF29416AD06	 法國電力有限責任公司	EDF 6.9 05/23/53	USD	107.3 		112.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.325)	176 	T 4 3/4 11/15/53	(1.58)			5.97 	5.97 	28.7 	29.2 	Baa1	2023/5/19	BBB	2023/5/24	BBB+	2023/5/23	6.9	2	2024/5/23	FIXED		2023/5/17	2052/11/23	2053/5/23	C	Sr Unsecured	200000	FR	Electric	Utilities	N									FR	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
				 [NEW-LINE]	 USP3143NAZ70	 智利國家銅業公司	CDEL 4 1/2 08/01/47	USD	76.8 		82.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.140 	169 	T 4 1/2 02/15/44	(0.96)			5.93 	5.91 	22.9 	23.4 	Baa1	2023/10/4	BBB+	2023/12/20	BBB+	2023/11/22	4.5	2	2024/8/1	FIXED		2017/7/25	2047/2/1	2047/8/1	C	Sr Unsecured	200000	CL	Mining	Basic Materials	N									CL	NPI	穩健型	保守型	Y	NPI	積極型	  1,250 	 優先無擔保
				 [NEW-LINE]	 US71568QAF46	 國家電力公司	PLNIJ 6.15 05/21/48	USD	98.1 		103.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.307 	170 	T 4 3/4 11/15/53	(1.01)				5.87 		24.2 	Baa2	2018/4/25		#VALUE!	BBB	2018/5/21	6.15	2	2024/5/21	FIXED		2018/5/15		2048/5/21	B	Sr Unsecured	200000	ID	Electric	Utilities	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  1,000 	 優先無擔保
				 [NEW-LINE]	 US37045VAL45	 通用汽車公司	GM 6 3/4 04/01/46	USD	105.6579437		111.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.029)	156 	T 4 1/2 02/15/44	(0.78)			5.84 	5.85 	21.5 	22.0 	Baa2	2023/3/31	BBB	2020/8/11	BBB	2023/9/6	6.75	2	2024/4/1	FIXED		2016/2/18	2045/10/1	2046/4/1	C	Sr Unsecured	2000	US	Auto Manufacturers	Consumer, Cyclical	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  750 	 優先無擔保
Republic of Indonesia	Republic of Indonesia	NPI	 	 [NEW-LINE]	 US71568QAK31	 國家電力公司	PLNIJ 4 7/8 07/17/49	USD	82.2 		87.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.360 	167 	T 4 3/4 11/15/53	(1.49)				5.81 		25.3 	Baa2	2019/7/2	BBB	2019/7/2	BBB	2019/7/15	4.875	2	2024/7/17	FIXED		2019/7/10		2049/7/17	B	Sr Unsecured	200000	ID	Electric	Utilities	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  700 	 優先無擔保
Republic of Chile	Republic of Chile	NPI	 	 [NEW-LINE]	 USP3143NBF08	 智利國家銅業公司	CDEL 3.7 01/30/50	USD	66.6 		72.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.038 	169 	T 4 3/4 11/15/53	(1.03)			5.82 	5.79 	25.4 	25.9 	Baa1	2023/10/4	BBB+	2023/12/20	BBB+	2023/11/22	3.7	2	2024/7/30	FIXED		2019/9/23	2049/7/30	2050/1/30	C	Sr Unsecured	200000	CL	Mining	Basic Materials	N									CL	NPI	穩健型	保守型	Y	NPI	積極型	  2,680 	 優先無擔保
				 [NEW-LINE]	 US37045VAF76	 通用汽車公司	GM 6 1/4 10/02/43	USD	100.2428207		105.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.275 	152 	T 4 1/2 02/15/44	(0.55)				5.77 		19.5 	Baa2	2023/3/31	BBB	2020/8/11	BBB	2023/9/6	6.25	2	2024/4/2	FIXED		2014/6/20		2043/10/2	B	Sr Unsecured	2000	US	Auto Manufacturers	Consumer, Cyclical	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  1,500 	 優先無擔保
				 [NEW-LINE]	 US06738ECH62	 巴克萊集團	BACR 7.119 06/27/34	USD	105.0657272		110.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.488 	184 	T 4 02/15/34	0.98 			5.66 	5.76 	9.3 	10.3 	Baa1	2023/6/29	BBB-	2023/6/28	BBB+	2023/6/29	7.119	2	2024/6/27	VARIABLE	357	2023/6/20	2033/6/27	2034/6/27	C	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	積極型	  1,500 	 次順位
	Lloyds Banking Group PLC	PI	 	 [NEW-LINE]	 US539439AW91	 勞埃德銀行集團	LLOYDS 7.953 11/15/33	USD	111.2114792		116.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.318 	168 	T 4 02/15/34	(0.24)			5.48 	5.71 	8.4 	9.7 	Baa1	2022/11/9	BBB-	2022/11/8	BBB+	2022/11/8	7.953	2	2024/5/15	VARIABLE	375	2022/11/7	2032/8/15	2033/11/15	C	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	積極型	  1,000 	 次順位
Republic of Indonesia	Republic of Indonesia	NPI	 	 [NEW-LINE]	 US71568QAP28	 國家電力公司	PLNIJ 4 06/30/50	USD	71.5 		77.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.282 	158 	T 4 3/4 11/15/53	(1.84)			5.72 	5.70 	25.8 	26.3 	Baa2	2020/6/22	BBB	2020/6/22	BBB	2020/6/21	4	2	2024/6/30	FIXED		2020/6/22	2049/12/30	2050/6/30	C	Sr Unsecured	200000	ID	Electric	Utilities	N									ID	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
				 [NEW-LINE]	 US83368TBL17	 法國興業銀行股份有限公司	SOCGEN 6.221 06/15/33	USD	98.41398621		103.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.316 						5.63 	5.68 	8.2 	9.2 	Baa3	2022/6/13	BBB-	2022/6/9	BBB	2022/6/14	6.221	2	2024/6/15	VARIABLE	320	2022/6/8	2032/6/15	2033/6/15	C	Subordinated	200000	FR	Banks	Financial	N		Tier 2							FR	NPI	穩健型	保守型	Y	PI	積極型	  1,250 	 次順位
	Lloyds Banking Group PLC	PI	 	 [NEW-LINE]	 US53944YAE32	 勞埃德銀行集團	LLOYDS 4.344 01/09/48	USD	77.37203979		82.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.127 	153 	T 4 3/4 11/15/53	(1.28)				5.66 		23.8 	Baa1	2022/7/19	BBB-	2018/1/9	BBB+	2021/5/19	4.344	2	2024/7/9	FIXED		2018/1/4		2048/1/9	B	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	積極型	  1,500 	 次順位
	HSBC Holdings PLC	PI	 	 [NEW-LINE]	 US404280DS59	 匯豐控股有限公司	HSBC 8.113 11/03/33	USD	112.5755692		118.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.731 	164 	T 4 02/15/34	0.09 			5.46 	5.66 	8.6 	9.6 	Baa1	2022/10/31	BBB	2022/10/31	A-	2022/10/31	8.113	2	2024/5/3	VARIABLE	425	2022/10/26	2032/11/3	2033/11/3	C	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	積極型	  2,000 	 次順位
Republic of Indonesia	Republic of Indonesia	NPI	 	 [NEW-LINE]	 US71568QAB32	 國家電力公司	PLNIJ 5 1/4 10/24/42	USD	89.9 		95.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.266 	143 	T 4 1/2 02/15/44	(1.01)				5.66 		18.6 	Baa2	2018/4/13	BBB	2019/5/31	BBB	2017/12/22	5.25	2	2024/4/24	FIXED		2012/10/16		2042/10/24	B	Sr Unsecured	200000	ID	Electric	Utilities	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  1,000 	 優先無擔保
Indonesia Ministry of State En	Republic of Indonesia	0	 	 [NEW-LINE]	 US69370RAA59	 印尼國家石油有限公司	PERTIJ 6.45 05/30/44	USD	104.2 		109.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.412 	138 	T 4 1/2 02/15/44	(0.91)				5.65 		20.2 	Baa2	2018/4/13	BBB	2019/5/31	BBB	2017/12/22	6.45	2	2024/5/30	FIXED		2014/5/22		2044/5/30	B	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	0	穩健型	  1,500 	 優先無擔保
Republic of Chile	Republic of Chile	NPI	 	 [NEW-LINE]	 USP3143NBM58	 智利國家銅業公司	CDEL 3.15 01/15/51	USD	60.1 		65.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.123 	155 	T 4 3/4 11/15/53	(1.16)			5.67 	5.64 	26.3 	26.8 	Baa1	2023/10/4	BBB+	2023/12/20	BBB+	2023/11/22	3.15	2	2024/7/15	FIXED		2020/12/7	2050/7/15	2051/1/15	C	Sr Unsecured	200000	CL	Mining	Basic Materials	N									CL	NPI	穩健型	保守型	Y	NPI	積極型	  500 	 優先無擔保
	HSBC Holdings PLC	PI	 	 [NEW-LINE]	 US404280DX45	 匯豐控股有限公司	HSBC 6.547 06/20/34	USD	102.0211029		107.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.284 	174 	T 4 02/15/34	0.04 			5.55 	5.62 	9.3 	10.3 	Baa1	2023/6/14	BBB	2023/6/13	A-	2023/6/15	6.547	2	2024/6/20	VARIABLE	298	2023/6/12	2033/6/20	2034/6/20	C	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	積極型	  2,000 	 次順位
	Standard Chartered PLC	PI	 	 [NEW-LINE]	 XS0875267394	 渣打集團有限公司	STANLN 5.3 01/09/43	USD	90.13858032		96.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.550 	137 	T 4 1/2 02/15/44	(0.74)				5.60 		18.8 	Baa2	2018/12/21	BBB-	2016/3/31	BBB+	2020/4/17	5.3	2	2024/7/9	FIXED		2013/1/8		2043/1/9	B	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	積極型	  750 	 次順位
				 [NEW-LINE]	 USY7138AAD29	 印尼國家石油有限公司	PERTIJ 6 05/03/42	USD	99.2 		104.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.461 	135 	T 4 1/2 02/15/44	(1.00)				5.59 		18.1 	Baa2	2018/4/13	BBB	2019/5/31	BBB	2017/12/22	6	2	2024/5/3	FIXED		2012/4/26		2042/5/3	B	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  1,222 	 優先無擔保
Indonesia Ministry of State En	Republic of Indonesia	NPI	 	 [NEW-LINE]	 USY7138AAD29	 印尼國家石油有限公司	PERTIJ 6 05/03/42	USD	99.2 		104.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.461 	135 	T 4 1/2 02/15/44	(1.00)				5.59 		18.1 	Baa2	2018/4/13	BBB	2019/5/31	BBB	2017/12/22	6	2	2024/5/3	FIXED		2012/4/26		2042/5/3	B	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  1,222 	 優先無擔保
				 [NEW-LINE]	 USF2893TAT37	 法國電力有限責任公司	EDF 5 09/21/48	USD	86.3 		92.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.106)	143 	T 4 3/4 11/15/53	(1.36)			5.59 	5.59 	24.0 	24.5 	Baa1	2022/2/21	BBB	2022/12/14	BBB+	2022/3/2	5	2	2024/9/21	FIXED		2018/9/18	2048/3/21	2048/9/21	C	Sr Unsecured	200000	FR	Electric	Utilities	N									FR	NPI	穩健型	保守型	Y	0	積極型	  1,300 	 優先無擔保
				 [NEW-LINE]	 US83368TBS69	 法國興業銀行股份有限公司	SOCGEN 6.691 01/10/34	USD	103.1996765		108.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.314 						5.46 	5.55 	8.8 	9.8 	Baa2	2023/1/4	BBB	2023/1/4	A-	2023/1/5	6.691	2	2024/7/10	VARIABLE	295	2023/1/3	2033/1/10	2034/1/10	C	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	NPI	積極型	  1,500 	 主順位非優先受償無擔保
				 [NEW-LINE]	 US83368TBS69	 法國興業銀行股份有限公司	SOCGEN 6.691 01/10/34	USD	103.1996765		108.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.314 						5.46 	5.55 	8.8 	9.8 	Baa2	2023/1/4	BBB	2023/1/4	A-	2023/1/5	6.691	2	2024/7/10	VARIABLE	295	2023/1/3	2033/1/10	2034/1/10	C	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	0	積極型	  1,500 	 主順位非優先受償無擔保
